Word,Definition
abase,(v.) to humiliate or degrade 

abate,"(v.) to reduce, lessen"

abdicate,"(v.) to give up a position, usually one of leadership"

abduct,"(v.) to kidnap, take by force"

abet,"(v.) to aid, help, encourage"

abhor,"(v.) to hate, detest"

abide,1.(v.) to put up with; 2(v.)to remain

abject,"(adj.) wretched, pitiful"

abjure,"(v.) to reject, renounce"

abnegation,(n.) denial of comfort to oneself

abort,(v.) to give up on a half-finished project or effort

abridge,"1.(v.) to cut down, shorten; 2(adj.)shortened"

abrogate,"(v.) to abolish, usually by authority"

abscond,(v.) to sneak away and hide

absolution,"(n.) freedom from blame, guilt, sin"

abstain,(v.) to freely choose not to commit an action

abstruse,(adj.) hard to comprehend

accede,(v.) to agree

accentuate,"(v.) to stress, highlight"

accessible,"(adj.) obtainable, reachable)"

acclaim," ""(n.) high praise"" (Greg''s excellent poem won the acclaim of his friends.) "

accolade,"(n.) high praise, special distinction(Everyone offered __ to Sam after he won the Noble Prize.)"

accommodating,"(adj.) helpful, obliging, polite"

accord,(n.) an agreement

accost,(v.) to confront verbally

accretion,(n.) slow growth in size or amount

acerbic,"(adj.) biting, bitter in tone or taste"

acquiesce,(v.) to agree without protesting

acrimony,"(n.) bitterness, discord"

acumen,(n.) keen insight

acute,"1.(adj.) sharp, severe; 2(adj.)having keen insight"

adamant,"(adj.) impervious, immovable, unyielding"

adept,(adj.) extremely skilled

adhere,1.(n.) to stick to something; 2(n.)to follow devoutly

admonish,"(v.) to caution, criticize, reprove"

adorn,(v.) to decorate

adroit,"(adj.) skillful, dexterous"

adulation,(n.) extreme praise

adumbrate,(v.) to sketch out in a vague way

adverse,"(adj.) antagonistic, unfavorable, dangerous"

advocate,1.(v.) to argue in favor of something; 2(n.)a person who argues in favor of something

aerial,(adj.) somehow related to the air

aesthetic,"(adj.) artistic, related to the appreciation of beauty"

affable,"(adj.) friendly, amiable"

affinity,(n.)a spontaneous feeling of closeness

affluent,"(adj.) rich, wealthy"

affront,(n.) an insult

aggrandize,(v.) to increase or make greater

aggregate,1.(n.) a whole or total; 2(v.)to gather into a mass

aggrieved,"(adj.) distressed, wronged, injured"

agile,"(adj.) quick, nimble"

agnostic," ""(adj.) believing that the existence of God cannot be proven or disproven"""

agriculture,(n.) farming

aisle,(n.) a passageway between rows of seats

alacrity,"(n.) eagerness, speed"

alias,(n.) a false name or identity

allay,"(v.) to soothe, ease"

allege,"(v.) to assert, usually without proof"

alleviate,"(v.) to relieve, make more bearable"

allocate,"(v.) to distribute, set aside"

aloof,"(adj.) reserved, distant"

altercation,"(n.) a dispute, fight"

amalgamate,"(v.) to bring together, unite"

ambiguous,"(adj.) uncertain, variably interpretable"

ambivalent,(adj.) having opposing feelings

ameliorate,(v.) to improve

amenable,"(adj.) willing, compliant"

amenity,(n.) an item that increases comfort

amiable,(adj.) friendly

amicable," ""(adj.) friendly"""

amorous,"(adj.) showing love, particularly sexual"

amorphous,(adj.) without definite shape or type

anachronistic,(adj.) being out of correct chronological order

analgesic,(n.) something that reduces pain

